Report_key,Date,Category,Coalition_forces_wounded,Coalition_forces_killed,Iraq_forces_wounded,Iraq_forces_killed,Civilian_wia,Civilian_kia,Enemy_wia,Enemy_kia,Enemy_detained,Total_deaths,Latitude,Longitude
1DCC68DF-AEEC-412E-81B4-0802B9659538,4/8/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.2918663,44.10641861
8922D534-1DC1-4995-AC0D-B8EDDA53AC92,4/8/04,Attack,0,0,0,0,0,0,1,6,0,6,32.97230911,44.35791779
E9E225DE-906C-4A03-B487-07EC21264380,4/8/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,34.39762115,41.07674408
8761C79B-51FC-42C0-B71E-03955E8B052E,4/8/04,Attack,0,0,0,0,0,0,2,2,0,2,33.32174683,44.68842316
CF1B7432-62EB-4CFF-9FCC-E017BF92A657,4/8/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.27031326,44.25803375
8BB6FF39-642E-4D91-B89B-77DDCAC5317E,4/9/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.39584732,44.46450043
8FD65A56-1264-4C05-BDD0-E8B5E0DD5A31,4/9/04,Direct Fire,0,0,0,0,0,0,55,22,0,22,32.58408356,44.02401352
E4AA6DCC-DC38-421E-9060-3448227387A2,4/9/04,Attack,0,0,0,0,0,0,0,1,3,1,33.35603333,43.89833832
F472806D-1B3C-42AB-A309-C2A7D8EB85C4,4/9/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,33.53263474,44.23426056
DC373497-2AC5-4653-BE4B-0069E9DAEBCC,4/9/04,Direct Fire,11,2,0,0,0,1,0,0,0,3,33.30221939,44.16861343
BC20B011-EAE8-4F96-A4E2-8C01343FC528,4/9/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,36.34035873,43.14359665
670AB558-6534-4837-AD59-2BCDB619788E,4/9/04,Direct Fire,0,0,0,0,0,0,0,3,0,3,36.33659744,43.13365936
74BDB851-52EA-4844-A4A3-D009FE2CD9F5,4/9/04,Direct Fire,2,3,0,0,0,0,0,0,0,3,34.90294647,43.49030685
30BD0749-8992-4434-B2CB-557251D83B85,4/9/04,Direct Fire,2,0,0,2,0,0,5,5,5,7,33.7419281,44.64049149
E6AE7464-9165-40BA-8708-0B8F5842131E,4/9/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,34.20529938,43.86678696
EFFEA565-7259-4DEE-A9E0-989C4B05879E,4/9/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,36.32840347,43.12828445
D8D51EBC-B13C-4942-ACA9-119281CB69CE,4/9/04,Direct Fire,2,0,0,0,0,0,0,1,0,1,36.3828125,42.46509171
8B9C929D-A6B9-46C4-8D90-EBC44AAFB608,4/9/04,Direct Fire,0,0,0,0,0,0,3,3,0,3,33.39358139,43.51940155
17CF6CFD-133F-49FF-B353-C0E2402A963A,4/9/04,Indirect Fire,0,0,0,0,0,0,5,40,22,40,33.32302475,43.74619675
0E54DB1B-25F1-4D2F-9725-1D3E9DF4DA4F,4/9/04,Direct Fire,0,0,0,0,0,0,0,12,0,12,36.33772659,43.14811707
48B4C404-5DA8-454B-9E58-51139A890EDE,4/9/04,Direct Fire,0,0,0,0,3,1,0,0,0,1,36.40229034,43.12651443
A146D536-E12E-48E2-97CF-3CDFBF5154DA,4/10/04,SAFIRE,0,0,0,0,0,0,0,3,0,3,33.28841019,43.87051392
B595AD9D-B9A9-401F-95BA-37D5FF312A89,4/10/04,Indirect Fire,2,1,0,0,0,0,0,0,0,1,33.95173645,44.36369705
C51921EB-C9ED-436C-B47A-B7C10FDD4196,4/10/04,Direct Fire,0,0,1,2,0,0,0,0,0,2,33.39834595,44.38343811
906C9E23-367E-4279-A4B8-F89F33F722B0,4/10/04,Indirect Fire,0,0,0,0,0,0,20,9,0,9,32.58408356,44.02401352
